Date,Open,High,Low,Close,Adj Close,Volume
2018-12-21,745,306.0,284.0,382.0,316.0,295.0
2018-12-14,745,306.0,283.0,382.0,325.0,295.0
2018-12-07,745,316.0,292.0,382.0,335.0,300.0
2018-11-30,745,319.0,301.0,385.0,335.0,305.0
2018-11-23,745,329.0,307.0,385.0,358.0,315.0
2018-11-16,745,338.0,322.0,385.0,358.0,325.0
2018-11-09,745,348.0,339.0,385.0,358.0,340.0
2018-11-02,745,350.0,349.0,384.0,358.0,350.0
2018-10-26,745,356.0,349.0,384.0,358.0,350.0
2018-10-19,745,356.0,347.0,384.0,358.0,373.0
2018-10-12,745,357.0,347.0,384.0,358.0,373.0
2018-10-05,745,355.0,346.0,384.0,358.0,355.0
2018-09-21,710,356.0,340.0,380.0,352.0,355.0
2018-09-14,710,361.0,338.0,380.0,352.0,355.0
2018-09-07,710,362.0,341.0,380.0,352.0,355.0
2018-08-31,710,362.0,342.0,332.0,352.0,355.0
2018-08-24,710,363.0,338.0,332.0,352.0,358.0
2018-08-17,710,359.0,331.0,332.0,352.0,358.0
2018-08-10,710,353.0,331.0,332.0,349.0,358.0
2018-08-03,710,341.0,330.0,332.0,349.0,350.0
2018-07-27,710,337.0,329.0,342.0,357.0,350.0
2018-07-20,710,333.0,329.0,342.0,357.0,340.0
2018-07-13,710,340.0,329.0,342.0,357.0,330.0
2018-07-06,710,327.0,330.0,342.0,357.5,330.0
2018-06-29,725,319.0,331.0,372.0,357.5,330.0
2018-06-22,725,319.0,333.0,372.0,357.5,330.0
2018-06-15,725,326.0,336.0,372.0,357.5,335.0
2018-06-08,725,330.0,336.0,372.0,360.5,340.0
2018-06-01,725,331.0,334.0,351.0,360.5,340.0
2018-05-25,725,317.0,332.0,351.0,362.5,345.0
2018-05-18,725,307.0,322.0,351.0,362.5,345.0
2018-05-11,725,305.0,322.0,351.0,363.0,330.0
2018-05-04,725,313.0,318.0,351.0,363.0,330.0
2018-04-27,725,320.0,318.0,381.9,363.0,330.0
2018-04-20,725,336.0,317.0,381.9,370.0,330.0
2018-04-13,725,348.0,328.0,381.9,350.0,335.0
2018-04-06,725,354.0,343.0,379.2,350.0,350.0
